Мандант;Роль;ИмяПользоват;Начальная дата;Конечная дата;Исключая;Дата;Время;Метка UTC-времени в краткой форме (ГГГГМ;Присвоение из орг. менеджмента HR;Присвоение из групповой роли
400;ZGBI024_2D00_FMREP;XDOMNV10;25.12.2017;31.12.9999;;25.12.2017;12:33:33;0;;
400;ZGBI024_2D00_FMREP;XDOMOV09;25.12.2017;31.12.9999;;27.12.2017;18:48:46;0;;
400;ZGBI024_2D00_FMREP;XDOMRV01;25.12.2017;31.12.9999;;27.12.2017;18:48:47;0;;
400;ZGBI024_2D00_FMREP;XDOMVA04;25.12.2017;31.12.9999;;25.12.2017;12:33:40;0;;
400;ZGBI024_2D00_FMREP;XDOMYV10;15.02.2018;31.12.9999;;15.02.2018;11:38:15;0;;
400;ZGBI024_2D00_FMREP;XDOOOM;25.12.2017;31.12.9999;;25.12.2017;12:33:55;0;;
400;ZGBI024_2D00_FMREP;XDOPDV07;25.12.2017;31.12.9999;;27.12.2017;18:48:50;0;;
400;ZGBI024_2D00_FMREP;XDOPEA15;25.12.2017;31.12.9999;;25.12.2017;12:34:05;0;;
400;ZGBI024_2D00_FMREP;XDOPIP;25.12.2017;31.12.9999;;27.12.2017;18:48:51;0;;
400;ZGBI024_2D00_FMREP;XDOPON04;15.02.2018;31.12.9999;;15.02.2018;11:38:18;0;;
400;ZGBI024_2D00_FMREP;XDOPSV06;25.12.2017;31.12.9999;;27.12.2017;18:48:53;0;;
400;ZGBI024_2D00_FMREP;XDOPVN04;25.12.2017;31.12.9999;;25.12.2017;12:34:17;0;;
400;ZGBI024_2D00_FMREP;XDOREF;25.12.2017;31.12.9999;;25.12.2017;12:34:23;0;;
400;ZGBI024_2D00_FMREP;XDORYL;25.12.2017;31.12.9999;;25.12.2017;12:34:32;0;;
400;ZGBI024_2D00_FMREP;XDOSAA47;25.12.2017;31.12.9999;;27.12.2017;18:48:56;0;;
400;ZGBI024_2D00_FMREP;XDOSAA55;25.12.2017;31.12.9999;;25.12.2017;12:34:35;0;;
400;ZGBI024_2D00_FMREP;XDOSAA62;25.12.2017;31.12.9999;;25.12.2017;12:34:36;0;;
400;ZGBI024_2D00_FMREP;XDOSAM06;25.12.2017;31.12.9999;;25.12.2017;12:34:39;0;;
400;ZGBI024_2D00_FMREP;XDOSAN14;25.12.2017;31.12.9999;;27.12.2017;18:48:58;0;;
