ПФМ;Название;4;5
D34025;Тех(Кемск.ГЭС);;
D350;Сунск.ГЭС;;
D35001;Апп. ГД(Сунск.ГЭС);;
D35002;ПравВопр(Сунск.ГЭС);;
D35003;СвязОбщ.(Сунск.ГЭС);;
D35004;АдмСерв(Сунск.ГЭС);;
D35005;ГО и ЧС(Сунск.ГЭС);;
D35006;Ремонт.(Сунск.ГЭС);;
D35007;Эксплуат.(Сунск.ГЭС);;
D35008;Произв.(Сунск.ГЭС);;
D35009;Метролог(Сунск.ГЭС);;
D35010;СбытТЭ(Сунск.ГЭС);;
D35011;СбытЭЭ(Сунск.ГЭС);;
D35012;КорпЗащит(Сунск.ГЭС);;
D35013;ОплТруда(Сунск.ГЭС);;
D35014;ПодгКадр(Сунск.ГЭС);;
D35015;Соц-труд(Сунск.ГЭС);;
D35016;Ресурсооб(Сунск.ГЭС);;
D35017;СкладЛог(Сунск.ГЭС);;
D35018;Транспорт(Сунск.ГЭС);;
D35019;Эконом. (Сунск.ГЭС);;
D35020;УпрИмущ(Сунск.ГЭС);;
D35021;Финансы(Сунск.ГЭС);;
D35022;Бухгалт.(Сунск.ГЭС);;
D35023;Развитие(Сунск.ГЭС);;
D35024;КапСтрой(Сунск.ГЭС);;
D35025;Тех(Сунск.ГЭС);;
D361;Петрозав.ТЭЦ;;
D36101;Апп. ГД(Петрозав.ТЭЦ;;
D36102;ПравВопр(Петрозав.ТЭ;;
D36103;СвязОбщ.(Петрозав.ТЭ;;
D36104;АдмСерв(Петрозав.ТЭЦ;;
D36105;ГО и ЧС(Петрозав.ТЭЦ;;
D36106;Ремонт.(Петрозав.ТЭЦ;;
D36107;Экспл(Петрозав.ТЭЦ);;
D36108;Произв.(Петрозав.ТЭЦ;;
D36109;Метролог(Петрозав.ТЭ;;
D36110;СбытТЭ(Петрозав.ТЭЦ);;
D36111;СбытЭЭ(Петрозав.ТЭЦ);;
D36112;КорЗащ(Петрозав.ТЭЦ);;
D36113;ОплТруда(Петрозав.ТЭ;;
D36114;ПодгКадр(Петрозав.ТЭ;;
D36115;Соц-труд(Петрозав.ТЭ;;
D36116;РесуОб(Петрозав.ТЭЦ);;
D36117;СкладЛог(Петрозав.ТЭ;;
D36118;Трансп(Петрозав.ТЭЦ);;
D36119;Эконом. (Петрозав.ТЭ;;
D36120;УпрИмущ(Петрозав.ТЭЦ;;
D36121;Финансы(Петрозав.ТЭЦ;;
D36122;Бухгалт.(Петрозав.ТЭ;;
D36123;Развитие(Петрозав.ТЭ;;
D36124;КапСтрой(Петрозав.ТЭ;;
D36125;Тех(Петрозав.ТЭЦ);;
D370;Прионежский район;;
D37001;Апп. ГД (Прионежс;;
D37002;ПравВопр (Прионеж;;
D37003;СвязОбщ (Прионежс;;
